ID,Ziehung,Farbe,Gewicht
MM1,1,Grün,2.26
MM1,2,Gelb,3.4
MM1,3,Braun,1.98
MM1,4,Rot,1.68
MM1,5,Gelb,2.18
MM1,6,Rot,2.95
MM1,7,Rot,1.7
MM1,8,Orange,1.97
MM1,9,Rot,2.96
MM1,10,Grün,NA
MM1,1,Grün,2.26
MM1,2,Gelb,3.4
MM1,3,Braun,1.98
MM1,4,Rot,1.68
MM1,5,Gelb,2.18
MM1,6,Rot,2.95
MM1,7,Rot,1.7
MM1,8,Orange,1.97
MM1,9,Rot,2.96
MM1,10,Grün,NA
MM2,1,Braun,2.21
MM2,2,Braun,1
MM2,3,Braun,2
MM2,4,Blau,2
MM2,5,Blau,3
MM2,6,Blau,2
MM2,7,Rot,2
MM2,8,Rot,3
MM2,9,Rot,3
MM2,10,Rot,2
MM3,1,Gelb,3
MM3,2,Blau,2.9
MM3,3,Gelb,2.01
MM3,4,Gelb,1.98
MM3,5,Rot,1.98
MM3,6,Orange,2.21
MM3,7,Blau,2.07
MM3,8,Grün,1.37
MM3,9,Gelb,2.43
MM3,10,Orange,1.53
MM3,1,Gelb,3
MM3,2,Blau,2.9
MM3,3,Gelb,2.01
MM3,4,Gelb,1.98
MM3,5,Rot,1.98
MM3,6,Orange,2.21
MM3,7,Blau,2.07
MM3,8,Grün,1.37
MM3,9,Gelb,2.43
MM3,10,Orange,1.53
MM4,1,Grün,2.72
MM4,2,Gelb,1.58
MM4,3,Orange,2.04
MM4,4,Blau,2.24
MM4,5,Braun,2.52
MM4,6,Orange,2.52
MM4,7,Grün,1.52
MM4,8,Orange,1.99
MM4,9,Blau,2.04
MM4,10,Grün,1.47
MM5,1,Grün,2.72
MM5,2,Blau,2.49
MM5,3,Gelb,2.35
MM5,4,Rot,3.49
MM5,5,Gelb,1.97
MM5,6,Orange,1.65
MM5,7,Grün,1.77
MM5,8,Grün,2.02
MM5,9,Braun,1.57
MM5,10,Gelb,1.53
MM6,1,Orange,2.2
MM6,2,Orange,1.68
MM6,3,Orange,2.18
MM6,4,Orange,1.66
MM6,5,Orange,2.18
MM6,6,Orange,2.78
MM6,7,Orange,2.82
MM6,8,Orange,2.15
MM6,9,Orange,1.14
MM6,10,Orange,3.03
MM7,1,Gelb,3.9
MM7,2,Gelb,2.8
MM7,3,Gelb,1.78
MM7,4,Gelb,3
MM7,5,Gelb,2.2
MM7,6,Gelb,2.3
MM7,7,Gelb,2.1
MM7,8,Gelb,2.8
MM7,9,Gelb,2.2
MM7,10,Gelb,1.1
MM8,1,Gelb,1.06
MM8,2,Orange,1.24
MM8,3,Gelb,1.78
MM8,4,Rot,1.7
MM8,5,Gelb,1.67
MM8,6,Rot,1.78
MM8,7,Blau,2.18
MM8,8,Rot,2.16
MM8,9,Orange,1.58
MM8,10,Blau,2.52
MM9,1,Orange,1.62
MM9,2,Grün,2.34
MM9,3,Blau,2.8
MM9,4,Blau,1.88
MM9,5,Rot,2.16
MM9,6,Gelb,2.87
MM9,7,Gelb,3.15
MM9,8,Rot,1.5
MM9,9,Grün,2.26
MM9,10,Braun,1.88
MM10,1,Gelb,2.06
MM10,2,Blau,2.02
MM10,3,Orange,1.8
MM10,4,Gelb,1.2
MM10,5,Orange,1.67
MM10,6,Blau,2.36
MM10,7,Orange,2.52
MM10,8,Blau,1.91
MM10,9,Grün,1.77
MM10,10,Orange,2.09
MM11,1,Blau,3.13
MM11,2,Orange,2.08
MM11,3,Grün,2.65
MM11,4,Orange,2.48
MM11,5,Grün,1.84
MM11,6,Rot,2.35
MM11,7,Gelb,2
MM11,8,Blau,1.9
MM11,9,Blau,2.29
MM11,10,Rot,1.94
MM12,1,Rot,2.02
MM12,2,Rot,1.51
MM12,3,Rot,1.08
MM12,4,Rot,2.54
MM12,5,Rot,2.26
MM12,6,Rot,1.99
MM12,7,Rot,2.03
MM12,8,Rot,1.83
MM12,9,Rot,2.76
MM12,10,Rot,1.65
MM13,1,Rot,1.82
MM13,2,Grün,2.54
MM13,3,Blau,1.99
MM13,4,Gelb,1.97
MM13,5,Grün,2
MM13,6,Blau,1.88
MM13,7,Rot,1.69
MM13,8,Orange,1.95
MM13,9,Grün,2.41
MM13,10,Blau,2.02
MM14,1,Gelb,2.17
MM14,2,Blau,1.91
MM14,3,Rot,2.18
MM14,4,Braun,2.75
MM14,5,Blau,2.65
MM14,6,Gelb,2.29
MM14,7,Blau,2.32
MM14,8,Rot,2.98
MM14,9,Blau,2.16
MM14,10,Orange,1.75
MM15,1,Rot,1.91
MM15,2,Braun,3.35
MM15,3,Blau,1.87
MM15,4,Gelb,2.68
MM15,5,Gelb,1.98
MM15,6,Orange,2.31
MM15,7,Rot,1.81
MM15,8,Braun,2.34
MM15,9,Blau,1.89
MM15,10,Grün,2.55
MM16,1,Orange,2.06
MM16,2,Orange,1.55
MM16,3,Orange,2.08
MM16,4,Orange,2.11
MM16,5,Braun,1.74
MM16,6,Grün,1.94
MM16,7,Grün,1.68
MM16,8,Grün,1.60
MM16,9,Blau,3.00
MM16,10,Blau,2.77
MM17,1,Gelb,NA
MM17,2,Rot,NA
MM17,3,Orange,2.28
MM17,4,Grün,2.12
MM17,5,Gelb,2.42
MM17,6,Orange,3.63
MM17,7,Blau,3.02
MM17,8,Braun,2.01
MM17,9,Rot,3.04
MM17,10,Grün,2.39
MM18,1,Rot,1.76
MM18,2,Grün,2.06
MM18,3,Gelb,1.62
MM18,4,Blau,1.76
MM18,5,Blau,1.75
MM18,6,Blau,1.8
MM18,7,Blau,2.29
MM18,8,Grün,1.3
MM18,9,Gelb,1.31
MM18,10,Blau,1.91
MM19,1,Blau,2.27
MM19,2,Blau,2.29
MM19,3,Grün,2.76
MM19,4,Rot,2.06
MM19,5,Orange,2.02
MM19,6,Gelb,1.91
MM19,7,Orange,2.75
MM19,8,Gelb,2.35
MM19,9,Orange,2.78
MM19,10,Grün,2.32
MM20,1,Blau,1.73
MM20,2,Gelb,2.5
MM20,3,Orange,2.44
MM20,4,Blau,2.11
MM20,5,Grün,1.88
MM20,6,Gelb,1.65
MM20,7,Rot,2.24
MM20,8,Braun,2.07
MM20,9,Orange,2.42
MM20,10,Blau,2.35
MM21,1,Orange,1.95
MM21,2,Orange,2
MM21,3,Grün,2
MM21,4,Orange,2
MM21,5,Braun,2
MM21,6,Orange,2
MM21,7,Gelb,2
MM21,8,Blau,3
MM21,9,Braun,2
MM21,10,Rot,2
MM22,1,Rot,1.76
MM22,2,Grün,2.06
MM22,3,Gelb,1.62
MM22,4,Blau,1.76
MM22,5,Blau,1.75
MM22,6,Blau,1.8
MM22,7,Blau,2.29
MM22,8,Grün,1.3
MM22,9,Gelb,1.31
MM22,10,Blau,1.91
MM23,1,Orange,1.69
MM23,2,Gelb,1.83
MM23,3,Braun,1.98
MM23,4,Gelb,3.43
MM23,5,Grün,2.73
MM23,6,Rot,3.22
MM23,7,Blau,1.77
MM23,8,Gelb,1.53
MM23,9,Blau,1.68
MM23,10,Grün,2.63
MM24,1,Rot,1.76
MM24,2,Grün,2.06
MM24,3,Gelb,1.62
MM24,4,Blau,1.76
MM24,5,Blau,1.75
MM24,6,Blau,1.8
MM24,7,Blau,2.29
MM24,8,Grün,1.3
MM24,9,Gelb,1.31
MM24,10,Blau,1.91
MM25,1,Grün,1.65
MM25,2,Grün,2
MM25,3,Blau,3
MM25,4,Rot,3
MM25,5,Blau,2
MM25,6,Orange,2
MM25,7,Gelb,2
MM25,8,Blau,3
MM25,9,Orange,2
MM25,10,Blau,2
MM26,1,Blau,2.39
MM26,2,Braun,2.19
MM26,3,Grün,1.35
MM26,4,Blau,1.67
MM26,5,Orange,2.25
MM26,6,Grün,2.25
MM26,7,Grün,2.74
MM26,8,Braun,1.52
MM26,9,Gelb,3.7
MM26,10,Blau,2.02
MM27,1,Grün,NA
MM27,2,Blau,NA
MM27,3,Gelb,NA
MM27,4,Rot,NA
MM27,5,Gelb,NA
MM27,6,Orange,NA
MM27,7,Grün,NA
MM27,8,Grün,NA
MM27,9,Braun,NA
MM27,10,Gelb,1.64
MM28,1,Gelb,1.46
MM28,2,Gelb,1.93
MM28,3,Blau,1.45
MM28,4,Grün,1.77
MM28,5,Gelb,1.34
MM28,6,Blau,2.1
MM28,7,Blau,2.56
MM28,8,Orange,1.27
MM28,9,Orange,1.64
MM28,10,Gelb,1.58
MM29,1,Gelb,1.06
MM29,2,Orange,1.24
MM29,3,Gelb,1.78
MM29,4,Rot,1.69
MM29,5,Gelb,1.67
